index,title,certificate,genre,runtime,rating
2951,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
2952,Nobody,A,"Action, Crime, Drama",92 min,7.4
2953,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
2954,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
2955,CODA,A,"Comedy, Drama, Music",111 min,8
2956,F9,UA,"Action, Crime, Thriller",143 min,5.2
2957,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
2958,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
2959,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
2960,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
2961,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
2962,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
2963,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
2964,The Fallout,A,Drama,96 min,7
2965,The Black Phone,A,"Horror, Thriller",103 min,6.9
2966,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
2967,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
2968,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
2969,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
2970,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
2971,Encanto,U,"Animation, Comedy, Family",102 min,7.2
2972,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
2973,Old,UA,"Drama, Horror, Mystery",108 min,5.8
2974,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
2975,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
2976,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
2977,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
2978,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
2979,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
2980,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
